"vtkOriginalPointIds","Points:0","Points:1","Points:2"
2,0.57556,0.88456,0.066917
16,0.33202,0.53798,0.04819
31,0.65921,0.19142,0.062812
38,0.33477,0.78421,0.033939
39,1.4283,0.75763,0.069109
54,1.4861,0.33297,0.092061
58,0.39679,0.17769,0.043162
62,0.73671,0.10873,0.05021
66,1.4087,0.22988,0.082792
80,1.3597,0.93362,0.076038
90,1.0057,1.0078,0.024667
99,1.1027,1.0008,0.032596
101,0.85926,0.076329,0.028142
116,1.2844,0.96162,0.033033
145,0.81241,1.0582,0.031496
148,0.27803,0.65794,0.032223
164,1.3549,0.18771,0.077048
185,1.0726,0.1241,0.054182
219,1.2676,0.18014,0.02786
227,0.45303,0.80158,0.0018073
243,0.90556,1.0316,0.022841
246,0.50219,0.14969,0.044845
263,1.169,0.15237,0.042732
285,1.1974,0.98268,0.029206
289,1.3795,0.85808,0.067501
298,0.3806,0.41764,0.051764
302,0.34187,0.28693,0.043797
311,0.59566,0.17433,0.040231
313,0.97065,0.10039,0.0341
314,0.70608,0.9584,0.005873
325,0.81152,0.34564,0.058952
329,0.57561,0.57841,0.028566
330,1.0302,0.37227,0.063881
339,0.79452,0.61027,0.050197
347,0.91156,0.48842,0.058012
354,1.2408,0.40014,0.024186
362,0.89978,0.89974,0.060216
365,1.0495,0.24559,0.056775
393,0.69334,0.8712,0.03854
394,0.8981,0.75795,0.061966
401,1.1998,0.87256,0.035964
407,1.4683,0.5349,0.017513
408,0.79761,0.90213,0.061187
413,1.2208,0.63185,0.016149
428,1.4787,0.42819,0.042966
433,1.1341,0.38755,0.066293
436,1.3302,0.6388,0.027643
456,0.68234,0.73441,0.033108
457,1.4538,0.64805,0.019257
460,1.0064,0.62643,0.061543
466,1.0017,0.89011,0.059235
470,1.3726,0.30778,0.026432
477,0.80414,0.47633,0.04621
487,1.2084,0.75133,0.035007
493,0.59037,0.3089,0.014156
496,1.0006,0.75715,0.064902
506,0.90211,0.62105,0.059032
517,1.1029,0.75439,0.067876
525,0.6946,0.32432,0.01307
526,0.94396,0.22429,0.053165
532,0.92432,0.35768,0.062461
545,1.3445,0.52704,0.025417
565,0.47903,0.29275,0.013364
567,0.47724,0.42676,0.0059729
580,1.2543,0.29088,0.029372
583,0.79327,0.75226,0.05994
588,0.45776,0.55709,0.0027677
607,0.5707,0.72094,0.0031935
615,1.3132,0.75283,0.012551
625,1.1187,0.50657,0.044435
648,1.231,0.51579,0.010884
651,0.82442,0.21902,0.038281
657,0.4412,0.68469,0.0017645
661,0.6832,0.59262,0.012229
664,1.1006,0.88345,0.052583
680,1.3591,0.4155,0.017626
684,1.1517,0.26554,0.051179
686,0.69396,0.46017,0.021524
688,0.58685,0.44461,0.012233
710,1.1125,0.62879,0.052785
723,1.0158,0.49836,0.060002
