"vtkOriginalPointIds","Points:0","Points:1","Points:2"
28,0.94793,0.97631,1.7844
41,0.35387,1.4315,1.7018
43,0.32802,1.3818,1.5508
45,0.90729,0.98735,1.7683
46,0.98699,0.91168,1.5767
52,0.97921,0.88079,1.5699
57,0.37687,1.405,1.5576
61,0.35857,1.426,1.7317
139,0.8457,0.93189,1.7661
203,0.39992,1.4026,1.6317
259,0.30855,1.3332,1.5389
266,0.3617,1.3146,1.6913
286,0.35549,1.4248,1.6271
304,0.25859,1.3338,1.7356
305,0.92309,0.87346,1.5387
308,0.33548,1.3545,1.493
310,0.97183,0.99415,1.6582
312,0.99806,0.96111,1.6788
316,0.87618,0.88887,1.8193
364,0.30184,1.3314,1.6208
374,0.90601,0.88712,1.6618
418,0.87871,0.94312,1.6342
633,0.3902,1.3263,1.5908
1663,0.93956,0.99075,1.7133
1664,0.98494,0.97763,1.6685
1665,0.97299,0.96871,1.7316
1666,0.92761,0.98183,1.7764
1667,0.86221,0.9375,1.7002
1669,0.8911,0.88799,1.7405
1670,0.86094,0.91038,1.7927
1671,0.8765,0.95962,1.7672
1672,0.92527,0.96863,1.6462
1673,0.95203,0.92412,1.6703
1674,0.91206,0.93259,1.8019
1855,0.3777,1.4137,1.6294
1856,0.37924,1.4143,1.6817
1857,0.35622,1.4287,1.7168
1858,0.35468,1.4281,1.6645
1860,0.37595,1.3204,1.641
1861,0.31015,1.3242,1.7134
1862,0.28021,1.3326,1.6782
1863,0.32867,1.3781,1.6239
1864,0.39506,1.3644,1.6112
1865,0.36014,1.3703,1.7115
1866,0.30623,1.3826,1.7187
1867,0.38839,1.4038,1.5946
1868,0.34176,1.4033,1.5889
1869,0.35244,1.3934,1.5542
1870,0.36284,1.3404,1.5419
1871,0.3052,1.3323,1.5799
1872,0.32201,1.3439,1.516
1873,0.35617,1.3798,1.5253
1874,0.31829,1.3575,1.5449
1883,0.9831,0.89624,1.5733
1884,0.95504,0.89257,1.5577
1886,0.96023,0.85746,1.562
1887,0.98863,0.92095,1.6244
1888,0.97941,0.95292,1.6175
1889,0.9009,0.90829,1.5864
1890,0.92363,0.86063,1.6079
2650,0.80409,0.91316,1.73
2651,0.84516,0.85445,1.7594
2714,0.29835,1.2957,1.5161
2715,0.3879,1.2844,1.5696
2716,0.28758,1.2855,1.6008
3037,0.27816,1.2722,1.7125
3038,0.3579,1.2656,1.669
4770,0.95628,0.97973,1.7224
4771,0.90088,0.96412,1.7067
4773,0.93204,0.92835,1.7361
4774,0.89428,0.9461,1.7846
4894,0.36696,1.4212,1.6731
4897,0.33318,1.3765,1.7151
4898,0.31745,1.3804,1.6713
4899,0.3776,1.3674,1.6614
4900,0.36507,1.4035,1.5918
4901,0.37561,1.3721,1.5683
4903,0.32348,1.3678,1.5844
4904,0.33723,1.3686,1.5351
4910,0.95764,0.87502,1.5598
4911,0.98402,0.93693,1.6209
4913,0.95613,0.89079,1.6161
4914,0.94015,0.9306,1.602
5428,0.82462,0.8838,1.7447
5483,0.29296,1.2906,1.5585
5757,0.28287,1.2788,1.6567
5758,0.3729,1.275,1.6193
5759,0.31803,1.2689,1.6908
